(ep: 1, it: 5000, t: 0.003[s], ept: 0.00/0.06[h]) loss_total: 0.530, acc_r: 0.620
(ep: 1, it: 10000, t: 0.003[s], ept: 0.01/0.06[h]) loss_total: 0.428, acc_r: 0.440
(ep: 1, it: 15000, t: 0.003[s], ept: 0.01/0.06[h]) loss_total: 0.463, acc_r: 0.440
(ep: 1, it: 20000, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.528, acc_r: 0.420
(ep: 1, it: 25000, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.519, acc_r: 0.560
(ep: 1, it: 30000, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.483, acc_r: 0.400
(ep: 1, it: 35000, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.495, acc_r: 0.520
(ep: 1, it: 40000, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.530, acc_r: 0.560
(ep: 1, it: 45000, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.499, acc_r: 0.560
(ep: 1, it: 50000, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.526, acc_r: 0.580
(ep: 1, it: 55000, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.541, acc_r: 0.580
(ep: 1, it: 60000, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.515, acc_r: 0.540
(ep: 1, it: 65000, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.412, acc_r: 0.360
(ep: 1, it: 70000, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.457, acc_r: 0.400
(ep: 1, it: 75000, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.526, acc_r: 0.560
(ep: 1, it: 80000, t: 0.003[s], ept: 0.05/0.05[h]) loss_total: 0.508, acc_r: 0.580
(ep: 2, it: 2253, t: 0.003[s], ept: 0.00/0.07[h]) loss_total: 0.502, acc_r: 0.540
(ep: 2, it: 7253, t: 0.003[s], ept: 0.00/0.06[h]) loss_total: 0.504, acc_r: 0.480
(ep: 2, it: 12253, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.569, acc_r: 0.620
(ep: 2, it: 17253, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.521, acc_r: 0.480
(ep: 2, it: 22253, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.472, acc_r: 0.540
(ep: 2, it: 27253, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.465, acc_r: 0.440
(ep: 2, it: 32253, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.483, acc_r: 0.520
(ep: 2, it: 37253, t: 0.003[s], ept: 0.02/0.05[h]) loss_total: 0.548, acc_r: 0.640
(ep: 2, it: 42253, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.513, acc_r: 0.440
(ep: 2, it: 47253, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.463, acc_r: 0.480
(ep: 2, it: 52253, t: 0.003[s], ept: 0.03/0.05[h]) loss_total: 0.560, acc_r: 0.580
(ep: 2, it: 57253, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.478, acc_r: 0.520
(ep: 2, it: 62253, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.537, acc_r: 0.540
(ep: 2, it: 67253, t: 0.003[s], ept: 0.04/0.05[h]) loss_total: 0.497, acc_r: 0.540
(ep: 2, it: 72253, t: 0.002[s], ept: 0.05/0.05[h]) loss_total: 0.594, acc_r: 0.620
(ep: 2, it: 77253, t: 0.002[s], ept: 0.05/0.05[h]) loss_total: 0.461, acc_r: 0.460
(ep: 2, it: 82253, t: 0.002[s], ept: 0.05/0.05[h]) loss_total: 0.479, acc_r: 0.520
(ep: 3, it: 4506, t: 0.003[s], ept: 0.00/0.06[h]) loss_total: 0.561, acc_r: 0.620
(ep: 3, it: 9506, t: 0.003[s], ept: 0.01/0.06[h]) loss_total: 0.531, acc_r: 0.520
(ep: 3, it: 14506, t: 0.003[s], ept: 0.01/0.05[h]) loss_total: 0.532, acc_r: 0.580
